Mês,Precipitação Total
1,29.5
2,85.3
3,191.9
4,365.4
5,248.5
6,310.5
7,201.1
8,136.2
9,161.6
10,15.9
11,74.3
12,88.0
13,95.2
14,28.6
15,264.1
16,103.5
17,199.2
18,195.9
19,220.3
20,149.7
21,190.8
22,202.3
23,30.3
24,97.4
25,252.4
26,102.8
27,98.7
28,69.3
29,351.6
30,209.2
31,254.8
32,162.8
33,258.8
34,16.0
35,25.2
36,22.7
37,26.7
38,97.3
39,206.3
40,186.8
41,550.5
42,237.5
43,186.5
44,136.7
45,168.7
46,69.2
47,132.8
48,15.2
49,319.4
50,165.3
51,121.9
52,278.4
53,159.5
54,326.3
55,218.4
56,129.5
57,40.5
58,82.0
59,167.6
60,10.9